id,x,y,macro_node,macro_link_id,in_out,layer_id,split
245,12047.482749264893,-14295.653445536218,53396701300,5339670130013998,in,0,
246,11917.582807734643,-14934.381475075234,53396701301,5339670130110850,out,0,
247,11917.649448604052,-14934.221123323976,53396701301,5339670130110850,in,0,
248,11918.507129744874,-14934.73448368631,53396701301,5339670130113347,out,0,
249,11918.39729112054,-14934.868979657296,53396701301,5339670130113347,in,0,
250,11918.006978471634,-14934.986175236014,53396701301,5339670130113523,out,0,
251,11917.841219079897,-14934.93443053911,53396701301,5339670130113523,in,0,
252,11918.244894902966,-14934.021546290838,53396701301,5339670130113575,out,0,
253,11918.394709924867,-14934.109348049475,53396701301,5339670130113575,in,0,
254,11911.28584238322,-14560.072958850782,53396701341,5339670134101388,out,0,
255,11911.271908572397,-14560.246047089906,53396701341,5339670134101388,in,0,
256,11910.722021648926,-14560.615611517753,53396701341,5339670134180985,out,0,
257,11910.556492246,-14560.563135748354,53396701341,5339670134180985,in,0,
258,11910.28910541305,-14560.15231710876,53396701341,5339670134180989,out,0,
259,11910.308140073894,-14559.97971533793,53396701341,5339670134180989,in,0,
260,11429.824070861685,-14829.817208397577,53396701342,5339670134210772,out,0,
261,11429.838755408531,-14829.644182232818,53396701342,5339670134210772,in,0,
262,11430.814340849482,-14829.684854696621,53396701342,5339670134210781,out,0,
263,11430.814572440418,-14829.858502719855,53396701342,5339670134210781,in,0,
264,11430.296473466682,-14830.271680665192,53396701342,5339670134213609,out,0,
265,11430.127229980379,-14830.232817675716,53396701342,5339670134213609,in,0,
266,11430.392589617735,-14829.277335806195,53396701342,5339670134284199,out,0,
267,11430.557635589452,-14829.33131280896,53396701342,5339670134284199,in,0,
268,12086.878350397725,-15301.678544270186,53396701368,15339670136811664,out,0,
269,12087.037391150947,-15301.748256022576,53396701368,15339670136811664,in,0,
270,12086.642702602432,-15302.650382552161,53396701368,15339670136812599,out,0,
271,12086.483566388117,-15302.580888992024,53396701368,15339670136812599,in,0,
272,12087.195020769826,-15301.917552606676,53396701368,5339670136872983,out,0,
273,12087.25321829733,-15302.081158038736,53396701368,5339670136872983,in,0,
274,12345.35475001829,-15261.57525120089,53396701370,5339670018701370,out,0,
275,12345.506928250716,-15261.658890158218,53396701370,5339670018701370,in,0,
276,12345.140824640272,-15262.545793123498,53396701370,5339670137013993,out,0,
277,12344.973959264118,-15262.497734452609,53396701370,5339670137013993,in,0,
278,12344.698352997131,-15262.116872140841,53396701370,5339670137081248,out,0,
279,12344.704871542115,-15261.9433463555,53396701370,5339670137081248,in,0,
280,12246.822026964162,-15490.623250476083,53396701371,5339670137113670,out,0,
281,12246.814303149298,-15490.449774159857,53396701371,5339670137113670,in,0,
282,12247.44529122894,-15490.033239024859,53396701371,5339670137113995,out,0,
283,12247.60177578082,-15490.108513686133,53396701371,5339670137113995,in,0,
284,9726.383093582032,-14757.891667762548,53396701372,5339670137212382,out,0,
285,9726.37300746457,-14758.065022773555,53396701372,5339670137212382,in,0,
286,9725.38652107792,-14757.943178543423,53396701372,5339670137212407,out,0,
287,9725.418917911722,-14757.772579203544,53396701372,5339670137212407,in,0,
288,9726.051832553103,-14758.421611018166,53396701372,5339670137213577,out,0,
289,9725.88047265189,-14758.449708595705,53396701372,5339670137213577,in,0,
290,9725.70029127606,-14757.485703156237,53396701372,5339670137272067,out,0,
291,9725.870231249028,-14757.450008686154,53396701372,5339670137272067,in,0,
292,11713.999637719178,-15478.334396534296,53396701387,5339670017401387,out,0,
293,11714.022886611525,-15478.162311733653,53396701387,5339670017401387,in,0,
294,11714.99639399204,-15478.261074242611,53396701387,5339670138710848,out,0,
295,11714.984608826566,-15478.434322040524,53396701387,5339670138710848,in,0,
296,11714.537498369087,-15477.815746043272,53396701387,5339670138713520,out,0,
297,11714.705699210532,-15477.858898871045,53396701387,5339670138713520,in,0,
298,11955.44258524964,-14563.80183953382,53396701388,5339670134101388,out,0,
299,11955.456519060464,-14563.628751294696,53396701388,5339670134101388,in,0,
300,11956.44036152426,-14563.752213898022,53396701388,5339670138813497,out,0,
301,11956.41109502999,-14563.923378035388,53396701388,5339670138813497,in,0,
302,11956.091082880239,-14563.27806242792,53396701388,5339670138813571,out,0,
303,11956.245049819367,-14563.35836106591,53396701388,5339670138813571,in,0,
304,11955.96755655514,-14564.254066946925,53396701388,5339670138813678,out,0,
305,11955.795159837722,-14564.233256818858,53396701388,5339670138813678,in,0,
306,10645.858072984413,-13836.637801183995,53396701389,5339670106101389,out,0,
307,10645.684435749465,-13836.635851761832,53396701389,5339670106101389,in,0,
308,12584.417501862164,-14613.195994971991,53396701532,15339670065501532,out,0,
309,12584.290150591201,-14613.077946916559,53396701532,15339670065501532,in,0,
310,12584.60103558241,-14612.283570038517,53396701532,10,out,0,
311,12584.774683580301,-14612.283320168855,53396701532,10,in,0,
312,12584.960892210089,-14612.356516154658,53396701532,5339670080101532,out,0,
313,12585.087889156775,-14612.474945311285,53396701532,5339670080101532,in,0,
314,12585.019625737812,-14612.401147449595,53396701532,5339670153213896,out,0,
315,12585.12781581748,-14612.536973059363,53396701532,5339670153213896,in,0,
316,12585.188564028416,-14612.777871723818,53396701532,5339670153281016,out,0,
317,12585.157718592265,-14612.948758378287,53396701532,5339670153281016,in,0,
318,12741.625884012728,-14458.678503872965,53396701533,5339670066301533,out,0,
319,12741.75298083655,-14458.796825836189,53396701533,5339670066301533,in,0,
320,12741.074882210745,-14459.512965022152,53396701533,5339670153313896,out,0,
321,12740.949805987342,-14459.392509105126,53396701533,5339670153313896,in,0,
322,12741.685142464754,-14459.472615655306,53396701533,5339670153373369,out,0,
323,12741.537063341024,-14459.56331440239,53396701533,5339670153373369,in,0,
324,12584.756148355,-14599.402185460383,53396701534,10,out,0,
325,12584.582500357108,-14599.402435330045,53396701534,10,in,0,
326,12584.88469632684,-14598.45900879985,53396701534,5339670153413933,out,0,
327,12585.02588135428,-14598.560105177796,53396701534,5339670153413933,in,0,
328,12678.471489783218,-14492.974626554402,53396701535,5339670153511006,out,0,
329,12678.598028815499,-14493.09354485794,53396701535,5339670153511006,in,0,
330,12677.933818840946,-14493.817694366755,53396701535,5339670153512579,out,0,
331,12677.80443722462,-14493.701875167293,53396701535,5339670153512579,in,0,
332,12677.698758820525,-14493.42765644643,53396701535,5339670153573243,out,0,
333,12677.7169538834,-14493.254964149863,53396701535,5339670153573243,in,0,
334,12048.643596329357,-15380.3158835497,53396701573,5339670157312599,out,0,
335,12048.797081479852,-15380.397099300537,53396701573,5339670157312599,in,0,
336,12048.352608068944,-15381.272461717512,53396701573,5339670157313932,out,0,
337,12048.196472956752,-15381.196464899502,53396701573,5339670157313932,in,0,
338,12048.985992567832,-15380.728228088277,53396701573,5339670157372979,out,0,
339,12048.977798560349,-15380.901682831218,53396701573,5339670157372979,in,0,
340,10846.667393321051,-15245.594194098632,53396701598,5339670159810717,out,0,
341,10846.635536097243,-15245.764895026861,53396701598,5339670159810717,in,0,
342,10845.667497602812,-15245.580296969447,53396701598,5339670159811555,out,0,
343,10845.700694567375,-15245.409851520253,53396701598,5339670159811555,in,0,
344,10846.190052448517,-15245.089721488772,53396701598,5339670159813992,out,0,
345,10846.359522196051,-15245.127585644346,53396701598,5339670159813992,in,0,
346,11180.066524039034,-14963.663512776808,53396701599,5339670159901600,out,0,
347,11180.221223399945,-14963.742391147358,53396701599,5339670159901600,in,0,
348,11179.507782330204,-14963.858941638833,53396701599,5339670159910746,out,0,
349,11179.629337331833,-14963.734933287556,53396701599,5339670159910746,in,0,
350,11180.326769809513,-14964.432662313666,53396701599,5339670159910749,out,0,
351,11180.20270979522,-14964.554164587145,53396701599,5339670159910749,in,0,
352,11284.176467144112,-14758.569618135167,53396701600,5339670021401600,out,0,
353,11284.278272053649,-14758.428943155155,53396701600,5339670021401600,in,0,
354,11284.479952273208,-14759.26607383326,53396701600,5339670159901600,out,0,
355,11284.325252912296,-14759.18719546271,53396701600,5339670159901600,in,0,
