node_id,x_coord,y_coord,macro_node_id,macro_link_id,in_out,layer_id,split,node_type,modes,geometry,name,osm_node_id,ctrl_type,is_boundary,activity_type,poi_id,zone_id,notes,parent_node_id
85,139.647561064418,35.69857029141894,126,856,out,0,,intersection_out,vehicle,POINT (139.647561064418 35.69857029141894),,1173913729,,0.0,residential,,,,126.0
86,139.64684108671653,35.69876857144977,127,214,out,0,,intersection_out,vehicle,POINT (139.64684108671653 35.69876857144977),,2052134358,,0.0,residential,,,,127.0
87,139.64684297510576,35.69876829267993,127,214,in,0,,intersection_in,vehicle,POINT (139.64684297510576 35.69876829267993),,2052134358,,0.0,residential,,,,127.0
88,139.64684426043004,35.69877718853909,127,215,out,0,,intersection_out,vehicle,POINT (139.64684426043004 35.69877718853909),,2052134358,,0.0,residential,,,,127.0
89,139.6468423443302,35.69877727552229,127,215,in,0,,intersection_in,vehicle,POINT (139.6468423443302 35.69877727552229),,2052134358,,0.0,residential,,,,127.0
90,139.64683749538767,35.698773193654915,127,14687,out,0,,intersection_out,vehicle,POINT (139.64683749538767 35.698773193654915),,2052134358,,0.0,residential,,,,127.0
91,139.64683766229948,35.698771634195346,127,14687,in,0,,intersection_in,vehicle,POINT (139.64683766229948 35.698771634195346),,2052134358,,0.0,residential,,,,127.0
92,139.6468452395692,35.69881971146096,128,215,out,0,,intersection_out,vehicle,POINT (139.6468452395692 35.69881971146096),,2052134361,,0.0,residential,,,,128.0
93,139.64684715567003,35.698819624477736,128,215,in,0,,intersection_in,vehicle,POINT (139.64684715567003 35.698819624477736),,2052134361,,0.0,residential,,,,128.0
94,139.6468473486442,35.698828553891055,128,222,out,0,,intersection_out,vehicle,POINT (139.6468473486442 35.698828553891055),,2052134361,,0.0,residential,,,,128.0
95,139.6468454299752,35.698828522049695,128,222,in,0,,intersection_in,vehicle,POINT (139.6468454299752 35.698828522049695),,2052134361,,0.0,residential,,,,128.0
96,139.64685197038352,35.69882346364702,128,14684,out,0,,intersection_out,vehicle,POINT (139.64685197038352 35.69882346364702),,2052134361,,0.0,residential,,,,128.0
97,139.64685190729801,35.69882502819269,128,14684,in,0,,intersection_in,vehicle,POINT (139.64685190729801 35.69882502819269),,2052134361,,0.0,residential,,,,128.0
98,139.64681568018162,35.699623835886705,129,216,out,0,,intersection_out,vehicle,POINT (139.64681568018162 35.699623835886705),,440092668,,0.0,residential,,,,129.0
99,139.64681376111034,35.6996238418257,129,216,in,0,,intersection_in,vehicle,POINT (139.64681376111034 35.6996238418257),,440092668,,0.0,residential,,,,129.0
100,139.6468139584487,35.69961493340626,129,229,out,0,,intersection_out,vehicle,POINT (139.6468139584487 35.69961493340626),,440092668,,0.0,residential,,,,129.0
101,139.64681587600396,35.699614995893306,129,229,in,0,,intersection_in,vehicle,POINT (139.64681587600396 35.699614995893306),,440092668,,0.0,residential,,,,129.0
102,139.64680929643117,35.699620342736495,129,234,out,0,,intersection_out,vehicle,POINT (139.64680929643117 35.699620342736495),,440092668,,0.0,residential,,,,129.0
103,139.64680922701865,35.69961877836929,129,234,in,0,,intersection_in,vehicle,POINT (139.64680922701865 35.69961877836929),,440092668,,0.0,residential,,,,129.0
104,139.64681461981644,35.699808464113374,130,216,out,0,,intersection_out,vehicle,POINT (139.64681461981644 35.699808464113374),,1173913746,,0.0,residential,,,,130.0
105,139.64681653889212,35.699808458174466,130,216,in,0,,intersection_in,vehicle,POINT (139.64681653889212 35.699808458174466),,1173913746,,0.0,residential,,,,130.0
106,139.64681670781175,35.69981731585562,130,217,out,0,,intersection_out,vehicle,POINT (139.64681670781175 35.69981731585562),,1173913746,,0.0,residential,,,,130.0
107,139.6468147894379,35.69981735860874,130,217,in,0,,intersection_in,vehicle,POINT (139.6468147894379 35.69981735860874),,1173913746,,0.0,residential,,,,130.0
108,139.64682100290685,35.69981195469298,130,7677,out,0,,intersection_out,vehicle,POINT (139.64682100290685 35.69981195469298),,1173913746,,0.0,residential,,,,130.0
109,139.6468210734382,35.69981351902685,130,7677,in,0,,intersection_in,vehicle,POINT (139.6468210734382 35.69981351902685),,1173913746,,0.0,residential,,,,130.0
110,139.64682899218235,35.700241384144654,131,217,out,0,,intersection_out,vehicle,POINT (139.64682899218235 35.700241384144654),,1173913761,,0.0,unclassified,,,,131.0
111,139.64683091056636,35.70024134139153,131,217,in,0,,intersection_in,vehicle,POINT (139.64683091056636 35.70024134139153),,1173913761,,0.0,unclassified,,,,131.0
112,139.64682486586275,35.70024724508131,131,810,out,0,,intersection_out,vehicle,POINT (139.64682486586275 35.70024724508131),,1173913761,,0.0,unclassified,,,,131.0
113,139.64682457559522,35.700245697699394,131,810,in,0,,intersection_in,vehicle,POINT (139.64682457559522 35.700245697699394),,1173913761,,0.0,unclassified,,,,131.0
114,139.64683529109962,35.70024425507696,131,835,out,0,,intersection_out,vehicle,POINT (139.64683529109962 35.70024425507696),,1173913761,,0.0,unclassified,,,,131.0
115,139.64683562582653,35.700245796473325,131,835,in,0,,intersection_in,vehicle,POINT (139.64683562582653 35.700245796473325),,1173913761,,0.0,unclassified,,,,131.0
116,139.64672171213863,35.697849745531244,132,218,out,0,,intersection_out,vehicle,POINT (139.64672171213863 35.697849745531244),,1173913749,,0.0,primary,,,,132.0
117,139.64671979316876,35.697849731911354,132,218,in,0,,intersection_in,vehicle,POINT (139.64671979316876 35.697849731911354),,1173913749,,0.0,primary,,,,132.0
118,139.64671537102612,35.69784446049215,132,18018,in,0,,intersection_in,vehicle,POINT (139.64671537102612 35.69784446049215),,1173913749,,0.0,primary,,,,132.0
119,139.64672624855265,35.697844549622566,132,18019,out,0,,intersection_out,vehicle,POINT (139.64672624855265 35.697844549622566),,1173913749,,0.0,primary,,,,132.0
120,139.64671948786113,35.69787835446876,133,218,out,0,,intersection_out,vehicle,POINT (139.64671948786113 35.69787835446876),,5457809115,,0.0,residential,,,,133.0
121,139.64672140683166,35.697878368088666,133,218,in,0,,intersection_in,vehicle,POINT (139.64672140683166 35.697878368088666),,5457809115,,0.0,residential,,,,133.0
122,139.6467213078462,35.697887246115876,133,221,out,0,,intersection_out,vehicle,POINT (139.6467213078462 35.697887246115876),,5457809115,,0.0,residential,,,,133.0
123,139.64671938888918,35.69788723126307,133,221,in,0,,intersection_in,vehicle,POINT (139.64671938888918 35.69788723126307),,5457809115,,0.0,residential,,,,133.0
124,139.64682644155033,35.69939926659379,134,229,out,0,,intersection_out,vehicle,POINT (139.64682644155033 35.69939926659379),,7098261606,,0.0,residential,,,,134.0
125,139.64682452400018,35.699399204107024,134,229,in,0,,intersection_in,vehicle,POINT (139.64682452400018 35.699399204107024),,7098261606,,0.0,residential,,,,134.0
126,139.64682495971493,35.69939033326656,134,230,out,0,,intersection_out,vehicle,POINT (139.64682495971493 35.69939033326656),,7098261606,,0.0,residential,,,,134.0
127,139.64682687724712,35.69939039611471,134,230,in,0,,intersection_in,vehicle,POINT (139.64682687724712 35.69939039611471),,7098261606,,0.0,residential,,,,134.0
128,139.64683113117985,35.69939396958241,134,19256,out,0,,intersection_out,vehicle,POINT (139.64683113117985 35.69939396958241),,7098261606,,0.0,residential,,,,134.0
129,139.6468311518312,35.69939553488332,134,19256,in,0,,intersection_in,vehicle,POINT (139.6468311518312 35.69939553488332),,7098261606,,0.0,residential,,,,134.0
130,139.6468397402839,35.69912926673351,135,230,out,0,,intersection_out,vehicle,POINT (139.6468397402839 35.69912926673351),,1173913798,,0.0,residential,,,,135.0
131,139.64683782275796,35.6991292038857,135,230,in,0,,intersection_in,vehicle,POINT (139.64683782275796 35.6991292038857),,1173913798,,0.0,residential,,,,135.0
132,139.64683815135368,35.69912034610905,135,222,out,0,,intersection_out,vehicle,POINT (139.64683815135368 35.69912034610905),,1173913798,,0.0,residential,,,,135.0
133,139.64684007002964,35.699120377950656,135,222,in,0,,intersection_in,vehicle,POINT (139.64684007002964 35.699120377950656),,1173913798,,0.0,residential,,,,135.0
134,139.64683352525392,35.699125411002804,135,7660,out,0,,intersection_out,vehicle,POINT (139.64683352525392 35.699125411002804),,1173913798,,0.0,residential,,,,135.0
135,139.64683359923083,35.69912384677469,135,7660,in,0,,intersection_in,vehicle,POINT (139.64683359923083 35.69912384677469),,1173913798,,0.0,residential,,,,135.0
136,139.6468444743115,35.69912418641201,135,7665,out,0,,intersection_out,vehicle,POINT (139.6468444743115 35.69912418641201),,1173913798,,0.0,residential,,,,135.0
137,139.64684440144484,35.69912575067483,135,7665,in,0,,intersection_in,vehicle,POINT (139.64684440144484 35.69912575067483),,1173913798,,0.0,residential,,,,135.0
138,139.6467164921516,35.69813625388423,136,221,out,0,,intersection_out,vehicle,POINT (139.6467164921516 35.69813625388423),,1173913763,,0.0,residential,,,,136.0
139,139.64671841111456,35.6981362687372,136,221,in,0,,intersection_in,vehicle,POINT (139.64671841111456 35.6981362687372),,1173913763,,0.0,residential,,,,136.0
140,139.64671915559185,35.69814497382274,136,226,out,0,,intersection_out,vehicle,POINT (139.64671915559185 35.69814497382274),,1173913763,,0.0,residential,,,,136.0
141,139.64671725774429,35.69814520587218,136,226,in,0,,intersection_in,vehicle,POINT (139.64671725774429 35.69814520587218),,1173913763,,0.0,residential,,,,136.0
142,139.64672289193118,35.69814020257492,136,7621,out,0,,intersection_out,vehicle,POINT (139.64672289193118 35.69814020257492),,1173913763,,0.0,residential,,,,136.0
143,139.64672276929275,35.69814176476698,136,7621,in,0,,intersection_in,vehicle,POINT (139.64672276929275 35.69814176476698),,1173913763,,0.0,residential,,,,136.0
144,139.64649830357266,35.699627957277805,137,234,out,0,,intersection_out,vehicle,POINT (139.64649830357266 35.699627957277805),,440092672,,0.0,service,,,,137.0
145,139.6464983729791,35.69962952164506,137,234,in,0,,intersection_in,vehicle,POINT (139.6464983729791 35.69962952164506),,440092672,,0.0,service,,,,137.0
146,139.64648745920763,35.69962968750864,137,235,out,0,,intersection_out,vehicle,POINT (139.64648745920763 35.69962968750864),,440092672,,0.0,service,,,,137.0
